Standard,Vendor Security Risk,Description,organizations should have a tool to assess and monitor a vendor’s security in an automated and continuous manner,,,
C5.1,"     If yes, please describe how it is protected in the comments section",C5,7,"     If yes, please describe how it is protected in the comments section",Textbox,
D,Systems Security,,,,,
D1,Are computer systems (servers) backed up according to a regular schedule?,D,1,Are computer systems (servers) backed up according to a regular schedule?,YesOrNo,
D1.1,     Has the back-up and recovery process been verified?,D1,2,     Has the back-up and recovery process been verified?,YesOrNo,
D1.2,     Does the organization store backups offsite?,D1,3,     Does the organization store backups offsite?,YesOrNo,
D1.3,     Does the organization encrypt its backups?,D1,4,     Does the organization encrypt its backups?,YesOrNo,
D2,Does the organization replicate data to locations outside of the United States?,D,5,Does the organization replicate data to locations outside of the United States?,YesOrNo,
D3,Does the organization outsource its data storage?,D,6,Does the organization outsource its data storage?,YesOrNo,
D3.1,"     If yes, to whom is the data outsourced?",D3,7,"     If yes, to whom is the data outsourced?",Textbox,
D4,Is there formal control of access to System Administrator privileges?,D,8,Is there formal control of access to System Administrator privileges?,YesOrNo,
D5,Are servers configured to capture who accessed a system and what changes were made?,D,9,Are servers configured to capture who accessed a system and what changes were made?,YesOrNo,
D5.1,"     If no, in case of a security breach, how do you determine who accessed the system and what changes were made?",D5,10,"     If no, in case of a security breach, how do you determine who accessed the system and what changes were made?",Textbox,
E,Business Continuity / Disaster Recovery,,,,,
E1,Does the organization have disaster recovery plans for data processing facilities?,E,1,Does the organization have disaster recovery plans for data processing facilities?,YesOrNo,
E1.1,     What about Business Continuity Plans? ,E1,2,     What about Business Continuity Plans? ,Textbox,
E2,Are computer rooms protected against fire and flood?,E,3,Are computer rooms protected against fire and flood?,YesOrNo,
E3,"Does the organization have a ""Hot"" recovery site?",E,4,"Does the organization have a ""Hot"" recovery site?",YesOrNo,
F,Incident Response,,,,,
F1,"If an information security breach involving company's data occurred, would the Institute be notified of the breach?",F,1,"If an information security breach involving company's data occurred, would the Institute be notified of the breach?",YesOrNo,
F1.1,"     If yes, how soon would the Institute be notified?",F1,2,"     If yes, how soon would the Institute be notified?",Textbox,
F2,Does the organization have a formal Incident Response plan?,F,3,Does the organization have a formal Incident Response plan?,YesOrNo,
F3,Has the organization experienced an information security breach in the past three to five years?,F,4,Has the organization experienced an information security breach in the past three to five years?,YesOrNo,
F3.1,"      If so, please document what information was lost in the comments section?",F3,5,"      If so, please document what information was lost in the comments section?",Textbox,
F3.2,"      If so, please document how the clients were notified and how quickly in the comments section?",F3,6,"      If so, please document how the clients were notified and how quickly in the comments section?",Textbox,
G,Auditing / Client Reporting,,,,,
G1,Does the organization receive an SSAE-16 SOC Report?,G,1,Does the organization receive an SSAE-16 SOC Report?,YesOrNo,
G1.1,"     If so, please document which type of SOC report is being obtained in the comments section.  Please provide a copy of the latest SOC report.",G1,2,"     If so, please document which type of SOC report is being obtained in the comments section.  Please provide a copy of the latest SOC report.",Textbox,
G1.2,"      If not, does the organization allow clients the right to audit their systems and controls?",G1,3,"      If not, does the organization allow clients the right to audit their systems and controls?",YesOrNo,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
