Compliance Name:,PA-DSS,Description,The Payment Card Industry Data Security Standard is an information security standard for organizations that handle branded credit cards from the major card schemes. The PCI Standard is mandated by the card brands and administered by the Payment Card Industry Security Standards Council,,,
,,,3,Documenting each PA-DSS Assessment in a ROV using the PA-DSS ROV Reporting Template,YesOrNo,
,,,4,Providing adequate documentation within the ROV to demonstrate the Payment Application‘s PADSS compliance,YesOrNo,
,,,5,"Submitting the ROV and/or any change submissions to PCI SSC, along with the Attestation of Validation signed by both PA-QSA Company and Vendor",YesOrNo,
,,,6,Submitting the Payment Application‘s PA-DSS Implementation Guide to PCI SSC,YesOrNo,
,,,7,Maintaining an internal quality assurance process for their PA-DSS Assessment efforts,YesOrNo,
,,,8,"Staying up to date with Council statements and guidance, industry trends and best practices",YesOrNo,
,,,9,Properly determining whether or not Payment Applications are eligible for PA-DSS validation,YesOrNo,
,,,10,"Satisfying all applicable PA-QSA Qualification Requirements at all times, including but not limited to successful completion of annual revalidation and all required training and training examinations",YesOrNo,
A.5.5,Integrators and Resellers,A.5,,,,
A.5.5.1,"Integrators and Resellers are those entities that sell, install, and/or service Payment Applications on behalf of Vendors or others. Integrators and Resellers performing services relating to PA-DSS Validated Payment Applications are responsible for",A.5.5,1,Implementing PA-DSS Validated Payment Applications into a PCI DSS compliant environment (or instructing the merchant to do so),YesOrNo,
,,,2,Configuring such Payment Applications (where configuration options are provided) according to the Payment Application‘s PA-DSS Implementation Guide provided by the Vendor,YesOrNo,
,,,3,Configuring such Payment Applications (or instructing the merchant to do so) in a PCI DSS compliant manner,YesOrNo,
,,,4,"Servicing such Payment Applications (for example, troubleshooting, delivering remote updates, and providing remote support) according to the PA-DSS Implementation Guide and PCI DSS",YesOrNo,
,,,5,Ensuring that customers are provided (either directly from the Vendor or from the reseller or integrator) with a current copy of the validated Payment Application‘s PA-DSS Implementation Guide,YesOrNo,
,,,1,Integrators and resellers are not permitted to submit Payment Applications to PA-QSA Companies for PA-DSS Assessment. Products can only be submitted by the Vendor,YesOrNo,
A.5.6,Qualified Integrators and Resellers (QIRs),A.5,,,,
A.5.6.1,PCI Qualified Integrators and Resellers (QIRs) are trained by the Council in PCI DSS and PA-DSS in order to help ensure that they securely implement Payment Applications. For more information on the PCI QIR program,A.5.6,,,,
A.5.7,Customers,A.5,,,,
A.5.7.1,"Customers are merchants, service providers, or others who buy or receive a third-party Payment Application to store, process, or transmit cardholder data as part of authorizing or settling of payment transactions. Customers who want to use PA-DSS Validated Payment Applications to facilitate their PCI DSS compliance are responsible for",A.5.7,1,Ensuring that the Payment Application‘s version information is consistent with that indicated on the Website,YesOrNo,
,,,2,Implementing such applications into a PCI DSS compliant environment,YesOrNo,
,,,3,Configuring such applications (where configuration options are provided) according to the Payment Application‘s PA-DSS Implementation Guide provided by the Vendor,YesOrNo,
,,,4,Configuring such applications in a PCI DSS-compliant manner,YesOrNo,
,,,5,Maintaining the PCI DSS-compliant status of both the environment and the Payment Application configuration,YesOrNo,
,,,,,,
,,,,,,
A.6,Overview of PA-DSS Validation Processes,,,,,
A.6.1,The PA-DSS Assessment process is initiated by the Vendor. The Website has all the associated documents the Vendor will need to navigate the PA-DSS Assessment process. The following is a highlevel overview of the process,A.6,1,The Vendor selects a PA-QSA Company from the Council‘s PA-QSA List and negotiates the cost and any associated PA-QSA Company confidentiality and non-disclosure agreement with the PAQSA Company,YesOrNo,
,,,2,"The Vendor then provides to the PA-QSA Company the Payment Application software, corresponding PA-DSS Implementation Guide, and all associated manuals and other required documentation, including but not limited to the Vendor's signed Vendor Release Agreement",YesOrNo,
,,,3,"The PA-QSA Company then assesses the Payment Application, including its security functions and features, to determine whether the application complies with the PA-DSS",YesOrNo,
,,,4,"If the PA-QSA Company determines that the Payment Application is in compliance with the PADSS, the PA-QSA Company submits a corresponding ROV to PCI SSC, attesting to compliance and setting forth the results, opinions and conclusions of the PA-QSA Company on all test procedures along with the Vendor‘s signed VRA and the Attestation of Validation",YesOrNo,
,,,5,"PCI SSC issues an invoice to the Vendor for the applicable PA-DSS Payment Application Acceptance Fee. After the Vendor has paid the invoice, PCI SSC reviews the ROV to confirm that it meets the PA-DSS Program requirements, and if confirmed, PCI SSC notifies the PA-QSA Company and Vendor that the Payment Application has successfully completed the process",YesOrNo,
,,,6,"Once the Payment Application successfully completes the above process, the Council signs the Attestation of Validation and adds the Payment Application to the List of Validated Payment Applications on the Website",YesOrNo,
,,,,,,
A.7,Preparation for the Review,,,,,
A.7.1,PA-DSS Applicability to Payment Applications on Hardware Terminals,A.7,,,,
A.7.1.1,This section provides guidance for Vendors who wish to gain PA-DSS validation for resident Payment Applications on hardware terminals (also known as standalone or dedicated payment terminals). There are two ways for a resident Payment Application on a hardware terminal to achieve PA-DSS validation,A.7.1,1,The resident Payment Application directly meets all PA-DSS Requirements and is validated according to standard PA-DSS procedures,,
,,,2,"The resident Payment Application does not meet all PA-DSS Requirements, but the hardware on which the application resides is listed on the PCI SSC‘s Approved PIN Transaction Security (PTS) Devices List as a current PCI PTS approved Point of Interaction (POI) device. In this scenario, it may be possible for the application to satisfy PA-DSS Requirements through a combination of the PA-DSS and PTS validated controls",,
A.7.2,Prior to the Review,,,,,
A.7.2.1,"Prior to commencing a PA-DSS review with a PA-QSA Company, Vendors are encouraged to take the following preparatory actions",A.7.2,1,Review both PCI DSS and PA-DSS Requirements and related documentation located at the Website,,
,,,2,Determine/assess the Payment Application‘s readiness to comply with PA-DSS,,
,,,3,Perform a gap analysis between the Payment Application’s security functionality and PA-DSS Requirements,,
,,,4,Correct any gaps,,
,,,5,"If desired, the PA-QSA Company may perform a pre-assessment or gap analysis of a Vendor‘s Payment Application. If the PA-QSA Company notes deficiencies that would prevent a compliant result, the PA-QSA Company will provide to the Vendor a list of Payment Application features to be addressed before the formal review process begins",,
,,,6,Determine whether the Payment Application‘s PA-DSS Implementation Guide meets PA-DSS Implementation Guide requirements and correct any gaps,,
A.7.3,Required Documentation and Materials,,,,,
A.7.3.1,"All published PCI SSC information and documents relevant to PA-DSS are available on the Website. All completed Payment Application related materials such as install media, manuals, the PA-DSS Implementation Guide, the Vendor Release Agreement and all other materials related to the Assessment and participation in the PA-DSS Program must be delivered to the PA-QSA Company performing the assessment, not to PCI SSC",A.7.3,1,The Payment Application,,
,,,2,The necessary hardware and software accessories to perform,,
,,,3,"Documentation that describes all functions used for data input and output that can be used by third-party application developers. Specifically, functions associated with capture, authorization, settlement and chargeback flows (if applicable to the application) must be described. (A manual is an example of documentation that could fulfill this requirement)",,
,,,4,"Documentation that relates to installing and configuring the application, or which provides information about the application. Such documentation includes but is not limited to",,
,,,5,PA-DSS Implementation Guide,,
,,,6,Software Installation Guide or Instructions (as provided to customers),,
,,,7,Additional documentation—such as diagrams and flowcharts—that will aid in the Payment Application review,,
,,,8,The Vendor‘s executed VRA,,
A.7.4,PA-DSS Review Timeframes,,,,,
A.7.4.1,"The amount of time necessary for a PA-DSS Assessment, from the start of an Assessment to listing on the Website can vary widely depending on factors such as",A.7.4,1,How close the application is to being PA-DSS compliant at the start of the Assessment,,
,,,2,Whether the Payment Application‘s PA-DSS Implementation Guide meets all PA-DSS Requirements at the start of the Assessment,,
,,,3,Prompt payment of the fees due to PCI SSC,,
,,,4,Quality of the PA-QSA Company's submission to PCI SSC,,
A.7.5,Payment Application Qualified Security Assessors,,,,,
A.7.5.1,"PCI SSC qualifies and provides required training for PA-QSA Companies and PA-QSA Employees to assess and validate Payment Applications for PA-DSS compliance. In order to perform PA-DSS Assessments, a PA-QSA Company must have been qualified by PCI SSC and remain in good standing as both a QSA Company and PA-QSA Company, and complete all required PA-QSA training. All recognized PA-QSA Companies are listed on the Website. These are the only assessors recognized by PCI SSC as qualified to perform PA-DSS Assessments",A.7.5,1,"For each PA-DSS Assessment, the resulting PA-QSA report must follow the PA-DSS Report on Validation (ROV) template and instructions, as outlined in the PA-DSS ROV Template and PADSS ROV Reporting Instructions",,
,,,2,The PA-QSA Company must prepare each ROV based on evidence obtained by following the PA-DSS,,
,,,3,"Each ROV must be accompanied by an Attestation on Validation (AOV) in the form available through the Website, signed by a duly authorized officer of the PA-QSA Company, that summarizes whether the entity is in compliance or is not in compliance with PCI PA-DSS, and any related findings, as well as the PA-DSS Implementation Guide",,
A.7.5.1.1,Use of the PA-QSA Company Testing Laboratory,A.7.5.1,1,"Using the Vendor’s installation manual, training provided and the PA-DSS Implementation Guide to perform the default installation of the Payment Application",,
,,,2,Confirming that all implementations of the Payment Application (including region/country specific versions) to be listed were tested in the testing laboratory,,
,,,3,"Confirming that all Payment Application versions and platforms to be listed were tested, including all necessary system components and dependencies",,
,,,4,Confirming that all critical Payment Application functionalities were tested,,
,,,5,Confirming that the testing laboratory is capable of simulating the “real world” use of the Payment Application,,
,,,6,"Confirming that the testing laboratory is capable of simulating and validating all functions of the Payment Application, which includes that the testing laboratory is capable of exploiting application vulnerabilities",,
A.7.5.1.2,PA-QSA Company Fees,A.7.5.1,1,"The prices and fees charged by PA-QSA Companies are not set by PCI SSC. These fees are negotiated between the PA-QSA Company and their customers. Before deciding on a PAQSA Company, it is recommended that a prospective customer check the PA-QSA List, talk to several PA-QSA Companies, and follow their own Vendor selection processes",,
A.7.5.1.3,Non-PA-DSS assessment services that may be offered by PA-QSA Companies,A.7.5.1,,,,
A.7.5.1.3.1,"The list below provides examples of non-PA-DSS Assessment services that may be offered by PA-QSA Companies. These services are neither required nor recommended by PCI SSC. If these services are of interest to your company, please contact the PA-QSA Companies for availability and pricing. Examples of non-PA-DSS Assessment services include",,1,Guidance on designing Payment Applications in accordance with PA-DSS,,
,,,2,"Review of a Vendor‘s software design, response to questions via e-mail or phone, and participation in conference calls to clarify requirements",,
,,,3,Guidance on preparing the PA-DSS Implementation Guide,,
,,,4,Pre-assessment (gap analysis) services prior to beginning formal PA-DSS Assessment,,
,,,5,Guidance for bringing the Payment Application into compliance with PA-DSS if gaps or areas of non-compliance are noted during the assessment,,
A.7.6,Payment Application Qualified Security Assessors,,,,,
A.7.6.1,"PCI SSC qualifies and provides required training for PA-QSA Companies and PA-QSA Employees to assess and validate Payment Applications for PA-DSS compliance. In order to perform PA-DSS Assessments, a PA-QSA Company must have been qualified by PCI SSC and remain in good standing as both a QSA Company and PA-QSA Company, and complete all required PA-QSA training. All recognized PA-QSA Companies are listed on the Website. These are the only assessors recognized by PCI SSC as qualified to perform PA-DSS Assessments",A.7.6,1,"For each PA-DSS Assessment, the resulting PA-QSA report must follow the PA-DSS Report on Validation (ROV) template and instructions, as outlined in the PA-DSS ROV Template and PADSS ROV Reporting Instructions",,
,,,2,The PA-QSA Company must prepare each ROV based on evidence obtained by following the PA-DSS,,
,,,3,"Each ROV must be accompanied by an Attestation on Validation (AOV) in the form available through the Website, signed by a duly authorized officer of the PA-QSA Company, that summarizes whether the entity is in compliance or is not in compliance with PCI PA-DSS, and any related findings, as well as the PA-DSS Implementation Guide",,
A.7.6.1.1,Use of the PA-QSA Company Testing Laboratory,A.7.6.1,1,"Using the Vendor’s installation manual, training provided and the PA-DSS Implementation Guide to perform the default installation of the Payment Application",,
,,,2,Confirming that all implementations of the Payment Application (including region/country specific versions) to be listed were tested in the testing laboratory,,
,,,3,"Confirming that all Payment Application versions and platforms to be listed were tested, including all necessary system components and dependencies",,
,,,4,Confirming that all critical Payment Application functionalities were tested,,
,,,5,Confirming that the testing laboratory is capable of simulating the “real world” use of the Payment Application,,
,,,6,"Confirming that the testing laboratory is capable of simulating and validating all functions of the Payment Application, which includes that the testing laboratory is capable of exploiting application vulnerabilities",,
A.7.6.1.2,"The prices and fees charged by PA-QSA Companies are not set by PCI SSC. These fees are negotiated between the PA-QSA Company and their customers. Before deciding on a PAQSA Company, it is recommended that a prospective customer check the PA-QSA List, talk to several PA-QSA Companies, and follow their own Vendor selection processes",A.7.6.1,,,,
A.7.6.1.3,"The list below provides examples of non-PA-DSS Assessment services that may be offered by PA-QSA Companies. These services are neither required nor recommended by PCI SSC. If these services are of interest to your company, please contact the PA-QSA Companies for availability and pricing. Examples of non-PA-DSS Assessment services include",A.7.6.1,1,Guidance on designing Payment Applications in accordance with PA-DSS,,
,,,2,"Review of a Vendor‘s software design, response to questions via e-mail or phone, and participation in conference calls to clarify requirements.",,
,,,3,Guidance on preparing the PA-DSS Implementation Guide,,
,,,4,Pre-assessment (gap analysis) services prior to beginning formal PA-DSS Assessment,,
,,,5,Guidance for bringing the Payment Application into compliance with PA-DSS if gaps or areas of non-compliance are noted during the assessment,,
A.7.7,Technical Support throughout Testing,A.7,,,,
A.7.7.1,"It is recommended that the Vendor makes available a technical resource person to assist with any questions that may arise during the assessment. During the review, and to expedite the process, a Vendor contact should be on call to discuss issues and respond to questions from the PA-QSA Company",A.7.7,,,,
A.7.8,Vendor Release Agreement (VRA),A.7,,,,
A.7.8.1,"The Vendor's signed copy of the then most current version of the Vendor Release Agreement available on the Website must be provided to the PA-QSA Company along with the payment application and other documents and materials at the beginning of each PA-DSS Assessment process, and must be provided to PCI SSC by the PA-QSA Company along with the initial ROV submitted to PCI SSC in connection with that Assessment. Among other things, the VRA covers confidentiality issues, the Vendor's agreement to PA-DSS Program requirements, policies and procedures, and gives permission to the Vendor’s PA-QSA Company to release ROVs and related materials to PCI SSC for review.",A.7.8,,,,
A.7.9,"Vendors are also required to pay a PA-DSS Payment Application Acceptance Fee to PCI SSC. For each new PA-DSS submission, the PADSS Payment Application Acceptance Fee will be invoiced, and must be received by PCI SSC before the PA-DSS submission will be reviewed, Accepted and added to the List of Validated Payment Applications. Upon Acceptance, the PCI SSC will sign and return a copy of the Attestation of Validation to both the Vendor and the PA-QSA Company",A.7,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
