Compliance Name:,ISO 27001,Description,ISO 27001 - Information Security Standard,,,,
A.5.2.2,Network Access Control,A.5.2,1,"Develops, distributes and maintains a policy for network access
control, which covers details about accessible networks and networks services,
authorization process for granting network access, etc.",,YesOrNo,
,,,2,"Defines a process for authorizing, activating and terminating any
network connections in the entity.",,YesOrNo,
,,,3,"Implements a proper network access control tool/method for network
equipment/devices connectivity detection, identification and authentication.",,YesOrNo,
,,,4,"Implements proper authentication tool for remote access
connections",,YesOrNo,
,,,5,"Manages and controls access to configuration ports on network
equipment / devices.",,YesOrNo,
,,,6,"Implements proper segregation controls on the different types of
networks (internal, external, wireless, IP telephony, etc.)",,YesOrNo,
,,,7,"Implements proper security and operational controls for any network
connections beyond the entity’s direct control?",,YesOrNo,
A.5.2.3,Operating System Access Control,A.5.2,1,"Manages and controls access to operating systems through secure
log-on process.",,YesOrNo,
,,,2,"Assigns each user with a unique user ID and apply the proper
authentication method for identity verification.",,YesOrNo,
,,,3,"Limits the use of generic user IDs to only exceptional and business
justified circumstances, and implements the proper accountability technique
for such use.",,YesOrNo,
,,,4,"Implements an entity wide authentication mechanism to enforce
various authentication controls.",,YesOrNo,
,,,5,"Implements session time-out controls to prevent unauthorized
access.",,YesOrNo,
,,,6,Implements lock-out policy.,,YesOrNo,
,,,7,"Restricts connection times for critical information systems and
applications.",,YesOrNo,
,,,8,Records and continuously reviews logs of administrators system IDs.,,YesOrNo,
A.5.2.4,Applications Access Control,A.5.2,1,"Provides access to applications based on job responsibilities and
business justifications, in alignment with the entity access control policy/
procedure.",,YesOrNo,
,,,2,"Implements proper physical or logical isolation controls for highly
critical information systems and application environments.",,YesOrNo,
A.5.2.5,Remote Access Security,A.5.2,1,"Develops, distributes and maintains a policy addressing remote
access to the entity's resources.",,YesOrNo,
,,,2,Enforces formal authorization prior to remote access connections.,,YesOrNo,
,,,3,"Ensures that adequate security controls are implemented on the
VPN client machines, such as authentication, encryption, antivirus software,
personal firewalls, session timeout, content filtering etc.",,YesOrNo,
,,,4,"Provides remote access users with access to the services, which the
users are specifically authorized to use.",,YesOrNo,
,,,5,"Monitors and periodically reviews the remote access connections
logs.",,,
A.5.2.6,Mobile Computing,A.5.2,1,"Develops, distributes and maintains a formal policy governing the
appropriate use of mobile computing and communication facilities.",,YesOrNo,
,,,2,"Implements appropriate security controls to protect against the
risks of mobile computing and communication facilities’ usage, such ",,YesOrNo,
,,,3,"Develops, distributes and maintains a policy and procedure for the
handling and usage of personally owned devices (Bring your own Device
(BYOD)) that are not owned by the entity, addressing entity’s security
requirements on handling lost or stolen portable computing devices, storage
of entity data on these devices, connectivity to entity network and systems
etc.",,YesOrNo,
A.5.2.7,Wireless Access Management,A.5.2,1,"Develops, distributes and maintains a formal policy on the wireless
network usage.",,YesOrNo,
,,,2,"Authorizes formally the wireless access to the network prior to any
connection.",,YesOrNo,
,,,3,"Implements the proper authentication controls for the wireless
access.",,YesOrNo,
,,,4,"Enforces proper security controls for wireless connections to the
entity's network and establishes usage restrictions and implementation
guidance for such use.",,YesOrNo,
,,,5,"Provides wireless connection users with access to services that they
have been specifically authorized to use.",,YesOrNo,
,,,6,"Monitors continuously the unauthorized wireless access to the
network.",,YesOrNo,
A.5.3,Physical Access Control,A.5,,,,,
A.5.3.1,Physical Access Policy and Procedure,A.5.3,1,"Develops, distributes and maintains a formal documented physical
access policy that addresses the entity's requirements for implementing
physical access controls on offices, rooms and other areas.",,YesOrNo,
,,,2,"Supplements, as necessary, the physical access policy with a detailed
procedure on how to implement the protection controls and provides users
with complete specification on physical security safeguards.",,YesOrNo,
,,,3,"Enforces formal authorization prior to physical access to any facilities
with information processing resources.",,YesOrNo,
A.5.3.2,Physical Security Controls,A.5.3,1,"Enforces appropriate physical access control perimeters for all
physical access points to the entity.",,YesOrNo,
,,,2,"Verifies and ensures that only authorized employees are provided
access to protected areas.",,YesOrNo,
,,,3,"Controls entry to the data center, or any facility containing
information systems using physical access control devices.",,YesOrNo,
,,,4,"Controls and monitors physical access to the information processing
facilities areas or any other public areas.",,YesOrNo,
,,,5,"Safeguards and enforces adequate protection controls on physical
access devices.",,YesOrNo,
,,,6,Keeps inventory of all physical access devices owned by the entity.,,YesOrNo,
,,,7,Reviews logs of physical access on a regular basis.,,YesOrNo,
,,,8,"Deploys mechanism to monitor the movement of employees & nonemployees
within the entity.",,YesOrNo,
A.5.3.3,Public and External Party Access Control,A.5.3,1,"Enforces formal authorization prior to logical or physical access
required by external party through deploying a «need to know» criteria",,YesOrNo,
,,,2,"Monitors and logs logical or physical access provided to public or
external party.",,YesOrNo,
,,,3,"Controls physical access to any areas that includes information
systems and other areas such as delivery, loading, or any other points
where unauthorized personnel may enter by authenticating visitors before
authorizing access.",,YesOrNo,
,,,4,"Authorizes, monitors, and controls entering and exiting the data
centre facilities or any other public areas and maintains such records.",,YesOrNo,
,,,5,"Sets physical access protection and control mechanisms on all
external parties or outsourced individuals and hold them liable for any
violation or compromising the entity's information security policy.",,YesOrNo,
A.5.3.4,Information and Documents Access Control,A.5.3,1,"Places adequate security controls on accessing and handling all soft
/ hard documents / information in alignment with its criticality.",,YesOrNo,
,,,2,"Determines and assigns the needed access rights for the protected
documents/information.",,YesOrNo,
,,,3,"Sets a clear policy on controlling documents, along with defining
a clear retention period for archiving, and supplementing it with procedures
and guidelines for implementation and usage.",,YesOrNo,
,,,4,"Employs a procedure for the disposal of documents, with
requirements of authorization and responsibilities.",,YesOrNo,
A.5.3.5,Access Control Audit and Review,A.5.3,1,"Implements audit trails in information processing systems, as
necessary.",,,
,,,2,"Logs, maintains and periodically reviews logical and physical access
control lists.",,,
A.6,"Operation, Systems and Communications Management",,,,,,
A.6.1,Operations Management,A.6,,,,,
A.6.1.1,Technology and operations Capacity Management,A.6.1,1,"Ensures advanced planning and preparation for availability of
adequate capacity and resources for the information processing systems and
their technology components, and in line with applicable regulations.",,YesOrNo,
,,,2,"Conducts an annual projection review of capacity requirements
and resources for the information processing systems and their technology
components, integrating business requirements.",,YesOrNo,
A.6.1.2,Documentation of Operational Procedures,A.6.1,1,"Develops and maintains a complete set of operating procedures
documentations of all information processing systems detailing inputs,
outputs and dependencies.",,YesOrNo,
,,,2,"Documents and maintains up to date baseline configurations
manuals of all information processing systems including an inventory of
constituent system components.",,YesOrNo,
,,,3,"Places adequate security protection controls on the documentation
of operational procedures of all critical information processing systems,
through defining a clear distribution list and permitted users and ensures
their availability to authorized users whenever required.",,YesOrNo,
A.6.1.3,Change Management,A.6.1,1,"Develops, distributes and maintains a formal documented change
management policy that defines the overall change management process
employed by the entity, outlining roles and responsibilities of different
business owners.",,YesOrNo,
,,,2,"Supplements, as necessary, the change management policy with
a detailed procedure to facilitate the implementation of the change and
configuration management process and provide guidelines for all users.",,YesOrNo,
,,,3,"Implements a change management process that must include the
following details, as a minimum:
A. Description of required change.
B. Testing and implementation plans for the change.
C. Risk assessment of the change impact.
D. Official authorization of the change and the communication process for
all stakeholders.
E. Rollback process for recovery of unsuccessful changes.",,,
A.6.1.4,Segregation of Duties,A.6.1,1,"Segregates duties and responsibilities as necessary through
distributing the tasks for a specific business process / area among multiple
users, in a manner to reduce errors, fraud and unauthorized modification or
misuse of the entity’s assets.",,YesOrNo,
A.6.1.5,Separation of Operational Facilities,A.6.1,1,"Segregates where necessary development, testing and production
processing facilities to mitigate the risk impacting the production systems
from unauthorized intentional or unintentional access or change.",,YesOrNo,
,,,2,"Allocates secured computing environment for the sensitive and
critical information systems facilities.",,YesOrNo,
A.6.1.6,Information Systems Deployment,A.6.1,1,"Develops, distributes and maintains a formal policy and procedure
for the acquisition, deployment and upgrade of information systems,
addressing the entity’s requirements for ensuring proper security controls
implementation and in line with entity’s baseline configuration requirements,
prior to acceptance or deployment.",,,
,,,2,"Defines and implements proper acceptance criteria for new
information systems implementation and upgrades, and enforcing formal
certification and accreditation process outlining security requirements.",,,
,,,3,"Carries out suitable security testing of the information systems
during development and prior to acceptance and deployment, and ensures
periodic testing.",,,
A.6.1.7,Virtualization Techniques,A.6.1,1,"Employs virtualization techniques, as necessary and whenever
applicable, along with deployment of the proper security controls, which can
help, when properly implemented, in reducing the likelihood of successful
security attacks.",,,
A.6.2,External Party Services Management,A.6,1,"Develops, and maintains a formal agreement with the external party
service providers that addresses compliance with the entity information
security requirements.",,,
,,,2,"Places adequate measures to assure that security controls, services
definitions and delivery levels agreed upon in the external party contractual
agreements are implemented and followed by the external party.",,,
,,,3,"Monitors, reviews and audits the services and all related deliverables
provided by external party in a regular basis.",,,
,,,4,"Places adequate measures to manage and assess risks related to
changes of the external party services. Examples of changes may include",,,
A.6.3,Protection against malicious and mobile code,A.6,1,"Develops, distributes and maintains a formal policy covering the
requirements for prevention, detection and recovery controls against malicious
codes.",,,
,,,2,"Conduct regular awareness across the entity on the importance of
protecting the entity infrastructure from malicious code attacks.",,,
,,,3,"Implements a proper entity wide system/software for the malicious
code scanning, detection and repairing.",,,
,,,4,"Keeps an up to date malicious code protection mechanisms which
are continuously updated.",,,
,,,5,"Performs periodic scans of all information systems and real time
scans of files from external sources as the files are downloaded, opened, or
executed, as defined by the implemented policies.",,,
,,,6,"Automates the antivirus software configurations, updates and
operations among all users and employees.",,,
,,,7,"Establishes and maintains appropriate informative communication
channels to obtain latest details of new malicious code.",,,
,,,8,"Develops and implements proper continuity plans/procedures for
recovery from malicious code attacks.",,,
,,,9,Defines the acceptable and unacceptable mobile code technologies.,,,
,,,10,"Establishes formal usage restrictions and implementation guides for
the acceptable mobile code technologies.",,,
,,,11,"Enforces formal authorization, monitoring and control over the use
of mobile code technologies.",,,
A.6.4,Network Security,A.6,1,"Implements formal process for its network services to govern the
interconnections between its network, critical owned business information
systems and other networks and information systems outside its formal
boundaries, outlining the roles and responsibilities of securing the connections
and all other requisite issues such as duration of connection, ports, users'
access, etc.",,,
,,,2,"Develops and implements network service agreements and
ensures that all required security controls, service levels, and management
requirements are included in such agreements.",,,
,,,3,"Enables clock synchronization on all networking devices with agreed
reference such as Universal Coordinated Time (UTC) to facilitate forensic
analysis, and continuously monitor its accuracy.",,,
,,,4,"Monitors the information system connections continuously and
always verifies enforcement of security requirements.",,,
,,,5,Implements secure network routing controls.,,,
,,,6,"Implements adequate protection level for the confidentiality,
integrity and availability of transmitted information and, prevent unauthorized
access to information or data in transit (whether within entity or to external
network).",,,
,,,7,"Terminates network connections associated with communication
sessions as per the entity defined time period of inactivity.",,,
,,,8,"Implement measures to ensure adequate/high level of network
availability.",,,
,,,9,"Configures the network traffic devices on a need basis, as the
general rule of thumb is ‹deny-all› otherwise justify, with maintaining logs of
all changes as per the entity's change management policy.",,,
,,,10,"Develops and maintains full documentation of the network devices,
connections, and IP configuration while ensuring highest security protection
and controls on the documents.",,,
,,,11,"Applies appropriate logging and monitoring procedures to enable
recording of network security activities.",,,
A.6.5,Information Exchange Management,A.6,1,"Develops, distributes and maintains formal policy and procedures
governing the exchange of information internally in the entity, or externally
with outside entities, in all types of communication channels, based on the
criticality of information and in line with relevant laws and regulations.",,,
,,,2,"Develops and maintains formal information exchange agreements
that cover the protection and non-disclosure requirements for the exchange of
any government related information between the entity and any external party.",,,
,,,3,"Applies adequate security controls on top of the process of
exchanging information, specifically for transmitted physical media containing
information such as labelling, liability, etc.",,,
A.6.6,Electronic messaging / Emails,A.6,1,"Develops, distributes and maintains a formal electronic
communication policy that governs the use of all electronic messaging/email
tools provided to the users, outlining the risks associated with it.",,,
,,,2,"Implements mechanisms to ensure confidentiality, integrity and
appropriate availability of electronic messaging/emails.",,,
,,,3,"Deploys a process of stamping a mandatory disclaimer for electronic
messaging/emails.",,,
,,,4,"Deploys an archival and retention policy for electronic messaging/
emails.",,,
,,,5,"Deploys advanced authentication mechanisms for access to
electronic messaging/emails from non-trusted networks and public networks.",,,
,,,6,"Deploys non-repudiation supporting advanced encryption
mechanisms (e.g. digital signatures) while exchanging critical and sensitive
government information.",,,
A.6.7,Online Transactions and Public Information Management,A.6,,,,,
A.6.7.1,Online Transactions Controls,A.6.7,1,"Implements adequate confidentiality, integrity and availability
controls over any online transactional information/services, in order to
protect it from frauds, unauthorized modification or disclosure, etc.",,,
,,,2,"Develops and implements the required agreements with any involved
party in managing the online transactions services, and ensures the inclusion
of trading terms, details of authorization, liabilities, etc.",,,
A.6.7.2,Public Information,A.6.7,1,"Protects the integrity of public information that is available on
publicly accessible channels or systems such as internet websites, associated
written media etc., using information security controls such as appropriate
authentication and access controls, depending on the nature of the business
requirements and applicable legal obligations.",,,
,,,2,"Ensures compliance of information published by employees on
behalf of the government entity with applicable laws, rules and regulations
and approves the publication by an authorized management body within
Dubai Government Entity.",,,
A.6.8,Media Handling Management,A.6,1,"Implements adequate security and protection procedures for any
type of media containing information, in terms of handling, storage, disposal,
etc.",,,
A.6.9,Monitoring and Logs Management,A.6,1,"Enables audits logs for all information processing systems/
applications, and periodically reviews such logs and ensures applying adequate
retention measures over them.",,,
